tax_id	name_txt
10090	Mus musculus
10116	Rattus norvegicus
28985	Kluyveromyces lactis
318829	Magnaporthe oryzae
33169	Eremothecium gossypii
3702	Arabidopsis thaliana
4530	Oryza sativa
4896	Schizosaccharomyces pombe
4932	Saccharomyces cerevisiae
5141	Neurospora crassa
6239	Caenorhabditis elegans
7165	Anopheles gambiae
7227	Drosophila melanogaster
7955	Danio rerio
8364	Xenopus (Silurana) tropicalis
9031	Gallus gallus
9544	Macaca mulatta
9598	Pan troglodytes
9606	Homo sapiens
9615	Canis lupus familiaris
9913	Bos taurus
